Year,IL,IN,KY,MT,ND,OH,PA,TX,WV,WY
2001,--,--,15253,767,943,--,8420,2341,16537,4285
2002,3710,2836,14966,746,934,--,7964,2293,16126,4818
2003,--,2749,13942,693,912,2010,7062,2258,14727,4863
2004,--,2726,14273,706,914,2039,7212,2219,15873,4838
2005,--,2604,15409,729,935,2101,7415,2178,17374,5011
2006,--,2823,16444,797,943,2127,7592,2168,18738,5916
2007,3773,2890,15391,805,973,2061,7420,2241,18518,6334
2008,--,2952,16864,846,995,2308,7872,2565,20459,6843
2009,3492,3154,17170,946,1033,2601,7685,2734,20201,7054
2010,3424,3093,15990,1026,1068,2480,7772,2841,20461,6932
2011,3752,3423,16590,1064,1094,2570,8454,2946,23095,7004
2012,4005,3585,14586,1153,1152,2562,8619,3122,22566,7009
2013,3664,3531,11676,1116,1173,2369,8002,3162,19980,6648
2014,3679,3605,10531,1126,1219,--,7307,3478,17862,6541