State,2014 Total Coal Production (tons)
U.S.,1000048758
Wyoming,395665099
West Virginia,112187373
Kentucky,77468335
Pennsylvania,61876650
Illinois,58025228
Montana,44562048
Texas,43654013
Indiana,39266977
North Dakota,29157193
Colorado,24007495
Ohio,22257705
New Mexico,21963311
Utah,17934416
Alabama,16377117
Virginia,15506789
Arizona,8050607
Mississippi,3737100
Louisiana,2604888
Maryland,1977928
Alaska,1501758
Oklahoma,904311
Tennessee,839249
Missouri,362813
Arkansas,93989
Kansas,66366